
libro,autor,precio,editorial,category,opinions
Ayuno consciente,$ 49.000,Editorial planeta,Editorial planeta,Autoayuda - dieta,-1
Ayuno consciente,$ 49.000,Editorial planeta,Editorial planeta,Autoayuda - dieta,-1
Balón de Cristal,$ 49.000,Grupo planeta,Grupo planeta,Temas varios,-1
Balón de Cristal,$ 49.000,Grupo planeta,Grupo planeta,Temas varios,-1
Gardel,$ 75.000,Grupo planeta,Grupo planeta,Biografías y autobiografías,-1
Gardel,$ 75.000,Grupo planeta,Grupo planeta,Biografías y autobiografías,-1
Kamala Harris,$ 45.000,Penguin random house,Penguin random house,Biografías y autobiografías,-1
Kamala Harris,$ 45.000,Penguin random house,Penguin random house,Biografías y autobiografías,-1
Como Evitar un Desastre Climatico,$ 52.000,Penguin random house,Penguin random house,Ecología y medio ambiente,-1
Como Evitar un Desastre Climatico,$ 52.000,Penguin random house,Penguin random house,Ecología y medio ambiente,-1
5. 749 Días,$ 59.000,Grupo planeta,Grupo planeta,Libros de literatura,-1
5. 749 Días,$ 59.000,Grupo planeta,Grupo planeta,Libros de literatura,-1
Fuertes, libres y nómadas,$ 52.000,Destino,Destino,Psicologia,-1
Fuertes, libres y nómadas,$ 52.000,Destino,Destino,Psicologia,-1
Gatos G-El Poder de los Tres 5-Sombras a,$ 52.000,Salamandra infantil y juvenil,Salamandra infantil y juvenil,-1,-1
Gatos G-El Poder de los Tres 5-Sombras a,$ 52.000,Salamandra infantil y juvenil,Salamandra infantil y juvenil,-1,-1
El Camino del Tarot,$ 55.000,Diana,Diana,Esoterismo,3 opiniones
El Camino del Tarot,$ 55.000,Diana,Diana,Esoterismo,3 opiniones
La Cadena de oro,$ 62.000,Grupo planeta,Grupo planeta,Libros de literatura,1 opiniones
La Cadena de oro,$ 62.000,Grupo planeta,Grupo planeta,Libros de literatura,1 opiniones
Recuerdos y desinformación,$ 59.000,Temas de hoy,Temas de hoy,Actualidad,-1
Recuerdos y desinformación,$ 59.000,Temas de hoy,Temas de hoy,Actualidad,-1
Memorias de Idhun ii. Triada,$ 55.000,Montena,Montena,-1,-1
Memorias de Idhun ii. Triada,$ 55.000,Montena,Montena,-1,-1
Bajo la Cruz del sur,$ 49.000,Grupo planeta,Grupo planeta,Novela histórica,-1
Bajo la Cruz del sur,$ 49.000,Grupo planeta,Grupo planeta,Novela histórica,-1
INSTRUMENTAL,$ 98.650,Blackie books,Blackie books,-1,1 opiniones
INSTRUMENTAL,$ 98.650,Blackie books,Blackie books,-1,1 opiniones
Por Aqui Paso una Luciernaga,$ 52.000,Tusquets,Tusquets,Latinoamericana,-1
Por Aqui Paso una Luciernaga,$ 52.000,Tusquets,Tusquets,Latinoamericana,-1
Una tierra prometida,$ 79.000,Debate,Debate,-1,30 opiniones
Una tierra prometida,$ 79.000,Debate,Debate,-1,30 opiniones
Muerte en Venecia, la,$ 32.000,Debols!llo,Debols!llo,-1,-1
Muerte en Venecia, la,$ 32.000,Debols!llo,Debols!llo,-1,-1
Millonario en una Sola Generacion,$ 50.000,Taller del exito,Taller del exito,-1,-1
Millonario en una Sola Generacion,$ 50.000,Taller del exito,Taller del exito,-1,-1
Brujas - mdl,$ 49.000,Alfaguara,Alfaguara,-1,-1
Brujas - mdl,$ 49.000,Alfaguara,Alfaguara,-1,-1
Riusplay y el Hechizo de la Luna Llena,$ 43.000,Altea,Altea,-1,-1
Riusplay y el Hechizo de la Luna Llena,$ 43.000,Altea,Altea,-1,-1
Harry Potter y la Piedra Filosofal (Ed. Minalima),$ 139.000,Salamandra (publicaciones y ediciones salamandra, s.a.),Salamandra (publicaciones y ediciones salamandra, s.a.),Literatura juvenil,19 opiniones
Harry Potter y la Piedra Filosofal (Ed. Minalima),$ 139.000,Salamandra (publicaciones y ediciones salamandra, s.a.),Salamandra (publicaciones y ediciones salamandra, s.a.),Literatura juvenil,19 opiniones
Arsene Lupin. Caballero y Ladrón.,$ 25.000,Blanco & negro,Blanco & negro,-1,5 opiniones
Arsene Lupin. Caballero y Ladrón.,$ 25.000,Blanco & negro,Blanco & negro,-1,5 opiniones
De la Television y Otras Memorias,$ 33.700,Intermedio,Intermedio,Undefined,-1
De la Television y Otras Memorias,$ 33.700,Intermedio,Intermedio,Undefined,-1
Detestable Error,$ 42.200,Sin fronteras grupo editorial,Sin fronteras grupo editorial,Juvenil,1 opiniones
Detestable Error,$ 42.200,Sin fronteras grupo editorial,Sin fronteras grupo editorial,Juvenil,1 opiniones
Se Regalan Dudas,$ 45.000,Grijalbo,Grijalbo,Espiritualidad,-1
Se Regalan Dudas,$ 45.000,Grijalbo,Grijalbo,Espiritualidad,-1
Crea y Divaga,$ 49.000,Paidos,Paidos,Biografías y autobiografías,10 opiniones
Crea y Divaga,$ 49.000,Paidos,Paidos,Biografías y autobiografías,10 opiniones
Primeros Para la Eternidad,$ 33.700,Intermedio,Intermedio,Undefined,-1
Primeros Para la Eternidad,$ 33.700,Intermedio,Intermedio,Undefined,-1
La Sombra de Orion,$ 55.000,Penguin random house,Penguin random house,Libros de literatura,-1
La Sombra de Orion,$ 55.000,Penguin random house,Penguin random house,Libros de literatura,-1
YA QUE ME ACUERDO,$ 33.700,Libros intermedio,Libros intermedio,Humor,-1
YA QUE ME ACUERDO,$ 33.700,Libros intermedio,Libros intermedio,Humor,-1
Revoluciones,$ 75.000,Aguilar,Aguilar,Historia universal,54 opiniones
Revoluciones,$ 75.000,Aguilar,Aguilar,Historia universal,54 opiniones
Dormir en un mar de Estrellas,$ 85.000,Umbriel,Umbriel,Ciencia ficción,-1
Dormir en un mar de Estrellas,$ 85.000,Umbriel,Umbriel,Ciencia ficción,-1
Simplemente Charli,$ 41.000,Penguin random house g.e. (españa),Penguin random house g.e. (españa),Undefined,2 opiniones
Simplemente Charli,$ 41.000,Penguin random house g.e. (españa),Penguin random house g.e. (españa),Undefined,2 opiniones
La Revolucion Interior,$ 44.000,Grijalbo,Grijalbo,No ficción,-1
La Revolucion Interior,$ 44.000,Grijalbo,Grijalbo,No ficción,-1
Piensa Como un Monje,$ 49.000,Penguin random house,Penguin random house,Autoayuda,3 opiniones
Piensa Como un Monje,$ 49.000,Penguin random house,Penguin random house,Autoayuda,3 opiniones
ROMPELA,$ 45.000,Ediciones b,Ediciones b,-1,-1
ROMPELA,$ 45.000,Ediciones b,Ediciones b,-1,-1
Arsene Lupin la Aguja Hueca,$ 25.000,Editorial blanco y negro sas,Editorial blanco y negro sas,Policiaca,-1
Arsene Lupin la Aguja Hueca,$ 25.000,Editorial blanco y negro sas,Editorial blanco y negro sas,Policiaca,-1
Perfectos Mentirosos 2,$ 47.000,Penguin random house g.e. (españa),Penguin random house g.e. (españa),Undefined,13 opiniones
Perfectos Mentirosos 2,$ 47.000,Penguin random house g.e. (españa),Penguin random house g.e. (españa),Undefined,13 opiniones
Perfectos Mentirosos 1,$ 49.000,Penguin random house g.e. (españa),Penguin random house g.e. (españa),Undefined,12 opiniones
Perfectos Mentirosos 1,$ 49.000,Penguin random house g.e. (españa),Penguin random house g.e. (españa),Undefined,12 opiniones
Descubre tus Arquetipos -60 Personas que Integran tu Personalidad,$ 140.000,-1,-1,-1,-1
Descubre tus Arquetipos -60 Personas que Integran tu Personalidad,$ 140.000,-1,-1,-1,-1
El silencio de la escafandra,$ 40.000,Calixta editores,Calixta editores,-1,-1
El silencio de la escafandra,$ 40.000,Calixta editores,Calixta editores,-1,-1
El Actor,$ 47.000,Urano,Urano,Psicología,1 opiniones
El Actor,$ 47.000,Urano,Urano,Psicología,1 opiniones
Maniático engendro,$ 28.000,Calixta editores,Calixta editores,-1,-1
Maniático engendro,$ 28.000,Calixta editores,Calixta editores,-1,-1
Espiral,$ 25.000,-1,-1,-1,-1
Espiral,$ 25.000,-1,-1,-1,-1
Las Verdades que Sostenemos:,$ 49.000,Philomel books,Philomel books,-1,1 opiniones
Las Verdades que Sostenemos:,$ 49.000,Philomel books,Philomel books,-1,1 opiniones
Melómanos: Historias de una Obsesión,$ 39.000,Penguin random house,Penguin random house,Música,-1
Melómanos: Historias de una Obsesión,$ 39.000,Penguin random house,Penguin random house,Música,-1
EL GRAN PLAN,$ 45.000,Conecta,Conecta,-1,-1
EL GRAN PLAN,$ 45.000,Conecta,Conecta,-1,-1
Esquizofrenia,$ 38.000,Calixta editores,Calixta editores,-1,-1
