libro,autor,precio,editorial,category,opinions
Ayuno consciente,Endika montiel,$ 49.000,Editorial planeta,Autoayuda - dieta,-1
Ayuno consciente,Endika montiel,$ 49.000,Editorial planeta,Autoayuda - dieta,-1
Balón de Cristal,Carolina jaramillo seligmann,$ 49.000,Grupo planeta,Temas varios,-1
Balón de Cristal,Carolina jaramillo seligmann,$ 49.000,Grupo planeta,Temas varios,-1
Gardel,Felipe pigna,$ 75.000,Grupo planeta,Biografías y autobiografías,-1
Gardel,Felipe pigna,$ 75.000,Grupo planeta,Biografías y autobiografías,-1
Kamala Harris,Dan morain,$ 45.000,Penguin random house,Biografías y autobiografías,-1
Kamala Harris,Dan morain,$ 45.000,Penguin random house,Biografías y autobiografías,-1
Como Evitar un Desastre Climatico,Bill gates,$ 52.000,Penguin random house,Ecología y medio ambiente,-1
Como Evitar un Desastre Climatico,Bill gates,$ 52.000,Penguin random house,Ecología y medio ambiente,-1
5. 749 Días,Juana sánchez ortega,$ 59.000,Grupo planeta,Libros de literatura,-1
5. 749 Días,Juana sánchez ortega,$ 59.000,Grupo planeta,Libros de literatura,-1
Fuertes  libres y nómadas,Elsapunset,$ 52.000,Destino,Psicologia,-1
Fuertes  libres y nómadas,Elsapunset,$ 52.000,Destino,Psicologia,-1
Gatos G-El Poder de los Tres 5-Sombras a,Hunter  erin,$ 52.000,Salamandra infantil y juvenil,-1,-1
Gatos G-El Poder de los Tres 5-Sombras a,Hunter  erin,$ 52.000,Salamandra infantil y juvenil,-1,-1
El Camino del Tarot,Maria alexandra  cabrera,$ 55.000,Diana,Esoterismo,3 opiniones
El Camino del Tarot,Maria alexandra  cabrera,$ 55.000,Diana,Esoterismo,3 opiniones
La Cadena de oro,Cassandra clare,$ 62.000,Grupo planeta,Libros de literatura,2 opiniones
La Cadena de oro,Cassandra clare,$ 62.000,Grupo planeta,Libros de literatura,2 opiniones
Recuerdos y desinformación,Jim carrey-dana vachon,$ 59.000,Temas de hoy,Actualidad,-1
Recuerdos y desinformación,Jim carrey-dana vachon,$ 59.000,Temas de hoy,Actualidad,-1
Memorias de Idhun ii. Triada,Gallego  laura,$ 55.000,Montena,-1,-1
Memorias de Idhun ii. Triada,Gallego  laura,$ 55.000,Montena,-1,-1
Bajo la Cruz del sur,Patricia cerda,$ 49.000,Grupo planeta,Novela histórica,-1
Bajo la Cruz del sur,Patricia cerda,$ 49.000,Grupo planeta,Novela histórica,-1
La ruta del conocimiento,Violet moller,$ 55.000,Taurus,-1,-1
La ruta del conocimiento,Violet moller,$ 55.000,Taurus,-1,-1
INSTRUMENTAL,Rhodes  james,$ 55.000,Blackie books,-1,1 opiniones
INSTRUMENTAL,Rhodes  james,$ 55.000,Blackie books,-1,1 opiniones
Por Aqui Paso una Luciernaga,Sorayda  peguero isaac,$ 52.000,Tusquets,Latinoamericana,-1
Por Aqui Paso una Luciernaga,Sorayda  peguero isaac,$ 52.000,Tusquets,Latinoamericana,-1
Una tierra prometida,Barack obama,$ 79.000,Debate,-1,30 opiniones
Una tierra prometida,Barack obama,$ 79.000,Debate,-1,30 opiniones
Y los Vegetales  ¿Pa' Cuándo?,Héctor mendoza y loana duque,$ 80.000,-1,-1,-1
Y los Vegetales  ¿Pa' Cuándo?,Héctor mendoza y loana duque,$ 80.000,-1,-1,-1
Muerte en Venecia  la,Mann  thomas,$ 32.000,Debols!llo,-1,-1
Muerte en Venecia  la,Mann  thomas,$ 32.000,Debols!llo,-1,-1
Millonario en una Sola Generacion,Sabat  ann marie,$ 50.000,Taller del exito,-1,-1
Millonario en una Sola Generacion,Sabat  ann marie,$ 50.000,Taller del exito,-1,-1
Brujas - mdl,Lozano  brenda,$ 49.000,Alfaguara,-1,-1
Brujas - mdl,Lozano  brenda,$ 49.000,Alfaguara,-1,-1
Riusplay y el Hechizo de la Luna Llena,Riusplay,$ 43.000,Altea,-1,-1
Riusplay y el Hechizo de la Luna Llena,Riusplay,$ 43.000,Altea,-1,-1
Harry Potter y la Piedra Filosofal (Ed. Minalima),J.k. rowling,$ 139.000,Salamandra (publicaciones y ediciones salamandra  s.a.),Literatura juvenil,20 opiniones
Harry Potter y la Piedra Filosofal (Ed. Minalima),J.k. rowling,$ 139.000,Salamandra (publicaciones y ediciones salamandra  s.a.),Literatura juvenil,20 opiniones
Arsene Lupin. Caballero y Ladrón.,Maurice-marie-émile leblanc,$ 25.000,Blanco & negro,-1,5 opiniones
Arsene Lupin. Caballero y Ladrón.,Maurice-marie-émile leblanc,$ 25.000,Blanco & negro,-1,5 opiniones
De la Television y Otras Memorias,Fernando restrepo suarez,$ 33.700,Intermedio,Undefined,-1
De la Television y Otras Memorias,Fernando restrepo suarez,$ 33.700,Intermedio,Undefined,-1
ARTE DE CUIDARTE  EL,Zararri  gio,$ 41.000,Vergara,-1,-1
ARTE DE CUIDARTE  EL,Zararri  gio,$ 41.000,Vergara,-1,-1
Detestable Error,Ana coello,$ 42.200,Sin fronteras grupo editorial,Juvenil,1 opiniones
Detestable Error,Ana coello,$ 42.200,Sin fronteras grupo editorial,Juvenil,1 opiniones
Se Regalan Dudas,Ashley frangie,$ 45.000,Grijalbo,Espiritualidad,1 opiniones
Se Regalan Dudas,Ashley frangie,$ 45.000,Grijalbo,Espiritualidad,1 opiniones
Crea y Divaga,Jeff  bezos,$ 49.000,Paidos,Biografías y autobiografías,10 opiniones
Crea y Divaga,Jeff  bezos,$ 49.000,Paidos,Biografías y autobiografías,10 opiniones
Primeros Para la Eternidad,Andres  alba escamilla,$ 33.700,Intermedio,Undefined,-1
Primeros Para la Eternidad,Andres  alba escamilla,$ 33.700,Intermedio,Undefined,-1
La Sombra de Orion,Pablo montoya,$ 55.000,Penguin random house,Libros de literatura,-1
La Sombra de Orion,Pablo montoya,$ 55.000,Penguin random house,Libros de literatura,-1
